k,p_k,N,mean_depth,median_depth,p95_depth,max_depth
1,2,9,2.0,0,6,7
2,3,25,2.5,1,12,19
3,5,49,1.8958333333333333,1,5,19
4,7,121,1.6916666666666667,1,7,9
5,11,169,1.7083333333333333,1,7,13
6,13,289,1.75,1,7,15
7,17,361,1.7666666666666666,1,7,15
8,19,529,1.7840909090909092,1,7,15
9,23,841,1.8023809523809524,1,7,19
10,29,961,1.809375,1,7,21
11,31,1369,1.820906432748538,1,7,35
12,37,1681,1.8261904761904761,1,7,35
13,41,1849,1.8306277056277056,1,7,35
14,43,2209,1.8360507246376812,1,8,35
15,47,2809,1.8408119658119657,1,9,35
16,53,3481,1.8477011494252873,1,9,35
17,59,3721,1.8486559139784946,1,9,35
18,61,4489,1.853386809269162,1,9,35
19,67,5041,1.8557539682539683,1,9,35
20,71,5329,1.8577327327327327,1,9,35
21,73,6241,1.8607371794871794,1,9,35
22,79,6889,1.8625145180023228,1,9,35
23,83,7921,1.8654040404040404,1,9,35
24,89,9409,1.8686224489795917,1,9,35
25,97,10201,1.8698039215686275,1,9,37
26,101,10609,1.8707579185520362,1,9,37
27,103,11449,1.8723794549266248,1,9,37
28,107,11881,1.8734006734006734,1,9,37
29,109,12769,1.874138471177945,1,9,37
30,113,16129,1.8776041666666667,1,9,45
31,127,17161,1.879020979020979,1,9,45
32,131,18769,1.8803282182438192,1,9,45
33,137,19321,1.8811594202898552,1,9,45
34,139,22201,1.8827027027027028,1,9,53
35,149,22801,1.883201754385965,1,9,53
36,151,24649,1.8843719571567672,1,9,53
37,157,26569,1.8855389942788316,1,9,53
38,163,27889,1.886259323006311,1,9,53
39,167,29929,1.8872293504410584,1,9,53
40,173,32041,1.8884207240948814,1,9,73
41,179,32761,1.8885225885225885,1,9,73
42,181,36481,1.8898848684210525,1,9,73
43,191,37249,1.8900612113402062,1,9,73
44,193,38809,1.8906926406926408,1,9,73
45,197,39601,1.890959595959596,1,9,73
46,199,44521,1.8923629829290207,1,9,73
47,211,49729,1.893782175032175,1,9,73
48,223,51529,1.894174041297935,1,9,73
49,227,52441,1.8944317315026697,1,9,73
50,229,54289,1.894912319481285,1,9,73
51,233,57121,1.8953081232492996,1,9,73
52,239,58081,1.8954717630853994,1,9,73
53,241,63001,1.8965396825396825,1,9,73
54,251,66049,1.8970748546511629,1,9,73
55,257,69169,1.8976839000693964,1,9,73
56,263,72361,1.8980928689883914,1,9,73
57,269,73441,1.898338779956427,1,9,73
58,271,76729,1.898824418725889,1,9,73
59,277,78961,1.8991261398176291,1,9,73
60,281,80089,1.899298271900909,1,9,73
61,283,85849,1.8999860218059827,1,9,73
62,293,94249,1.900963415669298,1,9,73
63,307,96721,1.90118899917287,1,9,73
64,311,97969,1.9013453372529805,1,9,73
65,313,100489,1.9016499482525278,1,9,73
66,317,109561,1.9025191675794086,1,9,73
67,331,113569,1.9029127923358693,1,9,73
68,337,120409,1.9035446149757491,1,9,73
69,347,121801,1.9036124794745484,1,9,73
70,349,124609,1.9038263995891114,1,9,73
71,353,128881,1.904158907510863,1,9,73
72,359,134689,1.904609170824424,1,9,73
73,367,139129,1.9048789603818066,1,9,73
74,373,143641,1.9051865775549985,1,9,73
75,379,146689,1.905418302792321,1,9,73
76,383,151321,1.9056767116045465,1,9,73
77,389,157609,1.9060326886960053,1,9,87
78,397,160801,1.90625,1,9,87
79,401,167281,1.9066654710664754,1,9,87
80,409,175561,1.9071998177261336,1,9,87
81,419,177241,1.9072218460844053,1,9,87
82,421,185761,1.9076119724375538,1,9,87
83,431,187489,1.907652756443079,1,9,87
84,433,192721,1.9079337899543378,1,9,87
85,439,196249,1.908095878684114,1,9,87
86,443,201601,1.9083779761904762,1,9,87
87,449,208849,1.9086560560790622,1,9,87
88,457,212521,1.9087850555241859,1,9,87
89,461,214369,1.9088903194506643,1,9,87
90,463,218089,1.909082572172701,1,9,87
91,467,229441,1.9094621687587168,1,9,87
92,479,237169,1.9098023342103487,1,9,87
93,487,241081,1.9099552015928323,1,9,87
94,491,249001,1.9101646586345382,1,9,87
95,499,253009,1.910319041295137,1,9,87
96,503,259081,1.910537285780454,1,9,87
97,509,271441,1.9109048040082524,1,9,87
98,521,273529,1.9109780351554502,1,9,87
99,523,292681,1.911575782424491,1,9,87
100,541,299209,1.9118238817143927,1,9,87
101,547,310249,1.9120832366364973,1,9,87
102,557,316969,1.9122403523384064,1,9,87
103,563,323761,1.9123764516926118,1,9,87
104,569,326041,1.9124064531959268,1,9,87
105,571,332929,1.9125816993464053,1,9,87
106,577,344569,1.912861902440157,1,9,87
107,587,351649,1.9130124442624443,1,9,87
108,593,358801,1.9131605351170569,1,9,87
109,599,361201,1.9132696566998892,1,9,97
110,601,368449,1.9133826211568525,1,9,97
