k,p_k,N,mean_depth,median_depth,p95_depth,max_depth
111,607,375769,1.9135769943156415,1,9,113
112,613,380689,1.9136983566595218,1,9,113
113,617,383161,1.9137592650589832,1,9,113
114,619,398161,1.9140295358649788,1,9,113
115,631,410881,1.9143131814641745,1,9,113
116,641,413449,1.9143737543778179,1,9,113
117,643,418609,1.9144593509918588,1,7,113
118,647,426409,1.914600570345772,1,7,113
119,653,434281,1.9147024960854748,1,7,113
120,659,436921,1.9147326741737618,1,7,113
121,661,452929,1.9150306450473364,1,7,113
122,673,458329,1.9151437398544273,1,7,113
123,677,466489,1.915303287544374,1,7,113
124,683,477481,1.9154393901315239,1,7,113
125,691,491401,1.9156491656491657,1,7,113
126,701,502681,1.9158112516909367,1,7,115
127,709,516961,1.9160244506344786,1,7,115
128,719,528529,1.9161558138830865,1,7,115
129,727,537289,1.9162739536338054,1,7,115
130,733,546121,1.916430454845089,1,7,115
131,739,552049,1.9165054488015534,1,7,115
132,743,564001,1.9166879432624113,1,7,115
133,751,573049,1.91678184026469,1,7,115
134,757,579121,1.916861790302528,1,7,115
135,761,591361,1.91700487012987,1,7,115
136,769,597529,1.9170699950462573,1,7,115
137,773,619369,1.9173060280802365,1,7,115
138,787,635209,1.9175246533418975,1,7,115
139,797,654481,1.9177576090942428,1,7,115
140,809,657721,1.9177948063005534,1,7,115
141,811,674041,1.9179662928016141,1,7,115
142,821,677329,1.9180027992346396,1,7,115
143,823,683929,1.9180615503386322,1,7,115
144,827,687241,1.9180970257842966,1,7,115
145,829,703921,1.9182719627230367,1,7,115
146,839,727609,1.9184794559707974,1,7,115
147,853,734449,1.9185469903927848,1,7,115
148,857,737881,1.918573480782783,1,7,115
149,859,744769,1.9186646042794535,1,7,115
150,863,769129,1.9188730614410086,1,7,115
151,877,776161,1.918944547515976,1,7,115
152,881,779689,1.9189739998563529,1,7,115
153,883,786769,1.9190333109633335,1,7,115
154,887,822649,1.9193227236922719,1,7,115
155,907,829921,1.9193753614806246,1,7,115
156,911,844561,1.9194929904328881,1,7,115
157,919,863041,1.9196445124212087,1,7,115
158,929,877969,1.9197601734915168,1,7,115
159,937,885481,1.91981411211998,1,7,115
160,941,896809,1.9198947823837433,1,7,115
161,947,908209,1.919984188644011,1,7,115
162,953,935089,1.9201700802491317,1,7,115
163,967,942841,1.9202335497009038,1,7,115
164,971,954529,1.9203281621911563,1,7,115
165,977,966289,1.9204171013196893,1,7,115
166,983,982081,1.9205370234604107,1,7,115
167,991,994009,1.920634441573911,1,7,115
168,997,1018081,1.9207616297344021,1,7,115
169,1009,1026169,1.9208024417054517,1,7,115
170,1013,1038361,1.9208877460610962,1,7,115
171,1019,1042441,1.920918230305821,1,7,115
172,1021,1062961,1.9210798148566268,1,7,115
173,1031,1067089,1.9210992907801419,1,7,115
174,1033,1079521,1.921172372906477,1,7,115
175,1039,1100401,1.9212822609960014,1,7,115
176,1049,1104601,1.9213090711569798,1,7,115
177,1051,1125721,1.9214227338947518,1,7,115
178,1061,1129969,1.9214420231369385,1,7,115
179,1063,1142761,1.9215215793342435,1,7,115
180,1069,1181569,1.9216972700682482,1,7,115
181,1087,1190281,1.921738582518399,1,7,115
182,1091,1194649,1.9217610543021877,1,7,115
183,1093,1203409,1.9218203635009905,1,7,115
184,1097,1216609,1.9218967818722217,1,7,115
185,1103,1229881,1.921971249227567,1,7,115
186,1109,1247689,1.9220750700495637,1,7,115
187,1117,1261129,1.9221347872698094,1,7,115
188,1123,1274641,1.9221905793008223,1,7,115
189,1129,1324801,1.922440368357488,1,7,115
190,1151,1329409,1.922469249470441,1,7,115
191,1153,1352569,1.9225879955758232,1,7,119
192,1163,1371241,1.9226692628569761,1,7,133
193,1171,1394761,1.9227752444865067,1,7,133
194,1181,1408969,1.9228328819391214,1,7,133
195,1187,1423249,1.922917861117669,1,7,133
196,1193,1442401,1.922976289517471,1,7,133
197,1201,1471369,1.9231014946634697,1,7,133
198,1213,1481089,1.923132183908046,1,7,133
199,1217,1495729,1.9231838943979118,1,7,133
200,1223,1510441,1.9232323031699372,1,7,133
201,1229,1515361,1.9232558599936649,1,7,133
202,1231,1530169,1.923324105588406,1,7,133
203,1237,1560001,1.9234474358974358,1,7,133
204,1249,1585081,1.923558432381962,1,7,133
205,1259,1630729,1.9237316094406915,1,7,133
206,1277,1635841,1.9237419307511736,1,7,133
207,1279,1646089,1.9237950826444272,1,7,133
208,1283,1661521,1.9238546631999616,1,7,133
209,1289,1666681,1.923873809009528,1,7,133
210,1291,1682209,1.9239142840837755,1,7,133
211,1297,1692601,1.9239619520264681,1,7,133
212,1301,1697809,1.9239790364988267,1,7,133
213,1303,1708249,1.9240116189218428,1,7,133
214,1307,1739761,1.9241337885685381,1,7,133
215,1319,1745041,1.9241587585384863,1,7,133
216,1321,1760929,1.9242087126787695,1,7,133
217,1327,1852321,1.9244984667875962,1,7,133
218,1361,1868689,1.9245352889299872,1,7,133
219,1367,1885129,1.9245950407611578,1,7,133
220,1373,1907161,1.9246680928710753,1,7,133
221,1381,1957201,1.9248002248109544,1,7,133
222,1399,1985281,1.924901273372018,1,7,133
223,1409,2024929,1.9250012839962705,1,7,149
224,1423,2036329,1.9250287772893169,1,7,149
225,1427,2042041,1.9250514191690662,1,7,149
226,1429,2053489,1.92509086977864,1,7,149
227,1433,2070721,1.9251313552773914,1,7,149
228,1439,2093809,1.9252018332148888,1,7,149
229,1447,2105401,1.9252365346252494,1,7,149
230,1451,2111209,1.9252503779826526,1,7,149
231,1453,2128681,1.9252992464813876,1,7,149
232,1459,2163841,1.9253812666370895,1,7,149
233,1471,2193361,1.9254664077032497,1,7,149
234,1481,2199289,1.9254890673708946,1,7,149
235,1483,2211169,1.9255131224764468,1,7,149
236,1487,2217121,1.9255371833730244,1,7,149
237,1489,2229049,1.92556957050723,1,7,149
238,1493,2247001,1.9256190476190476,1,7,149
239,1499,2283121,1.9256999194085287,1,7,149
240,1511,2319529,1.9257969724875061,1,7,149
241,1523,2343961,1.9258639225925358,1,7,149
242,1531,2380849,1.9259591540493135,1,7,149
243,1543,2399401,1.9259956655830623,1,7,149
244,1549,2411809,1.9260347424007218,1,7,149
245,1553,2430481,1.926076742042724,1,7,149
246,1559,2455489,1.9261336239476634,1,7,149
247,1567,2468041,1.9261608401808723,1,7,149
248,1571,2493241,1.9262261154160851,1,7,149
249,1579,2505889,1.926249297654165,1,7,149
250,1583,2550409,1.926351391620478,1,7,149
251,1597,2563201,1.926377574906367,1,7,149
252,1601,2582449,1.926407811502884,1,7,149
253,1607,2588881,1.9264237817125551,1,7,149
254,1609,2601769,1.9264538575307253,1,7,149
255,1613,2621161,1.9264997176822476,1,7,149
256,1619,2627641,1.9265158088627057,1,7,149
257,1621,2647129,1.926550586144682,1,7,149
258,1627,2679769,1.9266193939176823,1,7,149
259,1637,2745649,1.9267539029037954,1,7,149
260,1657,2765569,1.9267955081921688,1,7,149
261,1663,2778889,1.9268239669968708,1,7,149
262,1667,2785561,1.9268373325291863,1,7,149
263,1669,2866249,1.9269770096655976,1,7,149
264,1693,2879809,1.927012495277463,1,7,149
265,1697,2886601,1.9270238342686898,1,7,149
266,1699,2920681,1.9270888971061533,1,7,149
267,1709,2961841,1.9271773627204711,1,7,149
268,1721,2968729,1.927185313036425,1,7,149
269,1723,3003289,1.9272454057020172,1,7,149
270,1733,3031081,1.9273011599825804,1,7,149
271,1741,3052009,1.9273461930637141,1,7,149
272,1747,3073009,1.9273841786288874,1,7,149
273,1753,3094081,1.9274081471713724,1,7,149
274,1759,3157729,1.9275184563078265,1,7,149
275,1777,3179089,1.9275575259319655,1,7,149
276,1783,3193369,1.9275780304681451,1,7,149
277,1787,3200521,1.927585204904203,1,7,149
278,1789,3243601,1.9276501418177334,1,7,149
279,1801,3279721,1.9277069383971803,1,7,149
280,1811,3323329,1.9277832341556416,1,7,149
281,1823,3352561,1.9278342520342664,1,7,149
282,1831,3411409,1.927922722817089,1,7,149
283,1847,3463321,1.928003476433018,1,7,149
284,1861,3485689,1.9280520803927375,1,7,149
285,1867,3500641,1.9280788655788657,1,7,149
286,1871,3508129,1.9280915633637086,1,7,149
287,1873,3523129,1.9281170028451988,1,7,149
288,1877,3530641,1.9281359753472458,1,7,149
289,1879,3568321,1.9281902968343647,1,7,149
290,1889,3613801,1.9282500415075543,1,7,149
291,1901,3636649,1.9282787336030323,1,7,149
292,1907,3659569,1.9283215942428178,1,7,149
293,1913,3728761,1.928406494384192,1,7,149
294,1931,3736489,1.9284140615465646,1,7,149
295,1933,3798601,1.9285139261833306,1,7,149
296,1949,3806401,1.9285230138713745,1,7,149
297,1951,3892729,1.9286382197780065,1,7,149
298,1973,3916441,1.9286676165088703,1,7,149
299,1979,3948169,1.9287059213285758,1,7,149
300,1987,3972049,1.9287443152751427,1,7,149
301,1993,3988009,1.928768447806524,1,7,149
302,1997,3996001,1.92878003003003,1,7,149
303,1999,4012009,1.9288024849402094,1,7,149
304,2003,4044121,1.928835692313779,1,7,149
305,2011,4068289,1.9288686051724953,1,7,149
306,2017,4108729,1.928916199855527,1,7,149
307,2027,4116841,1.9289267982238805,1,7,149
308,2029,4157521,1.9289860301333488,1,7,149
309,2039,4214809,1.9290499116448483,1,7,149
310,2053,4255969,1.9291023804690262,1,7,149
311,2063,4280761,1.9291361814257282,1,7,149
312,2069,4330561,1.9292017660533511,1,7,149
313,2081,4338889,1.9292122774314524,1,7,149
314,2083,4355569,1.929235635857367,1,7,149
315,2087,4363921,1.9292473280903408,1,7,149
316,2089,4405801,1.9292972899359935,1,7,149
317,2099,4456321,1.9293434941835417,1,7,149
318,2111,4464769,1.9293524321980449,1,7,149
319,2113,4532641,1.9294322955275514,1,7,149
320,2129,4541161,1.9294429176686132,1,7,149
321,2131,4566769,1.9294702511710689,1,7,149
322,2137,4583881,1.9294883373910312,1,7,149
323,2141,4592449,1.9294988206725476,1,7,149
324,2143,4635409,1.9295462233313658,1,7,149
325,2153,4669921,1.9295878730256621,1,7,155
326,2161,4748041,1.9296655040816841,1,7,155
327,2179,4853209,1.9297806729074871,1,7,155
328,2203,4870849,1.9297990822131998,1,7,155
329,2207,4897369,1.929820262639034,1,7,155
330,2213,4932841,1.929855215251255,1,7,155
331,2221,5004169,1.9299202185058535,1,7,155
332,2237,5013121,1.9299328561853697,1,7,155
333,2239,5031049,1.9299499825881208,1,7,155
334,2243,5067001,1.9299891454509572,1,7,155
335,2251,5139289,1.9300609345107727,1,7,155
336,2267,5148361,1.930069575554157,1,7,155
337,2269,5166529,1.9300886397983326,1,7,155
338,2273,5202961,1.9301266971108753,1,7,155
339,2281,5230369,1.9301506127293528,1,7,155
340,2287,5257849,1.9301742842318759,1,7,155
341,2293,5276209,1.9301903943134917,1,7,155
342,2297,5331481,1.9302448850975713,1,7,155
343,2309,5340721,1.9302524753216794,1,7,155
344,2311,5442889,1.9303485576039778,1,7,155
345,2333,5470921,1.9303740504339306,1,7,155
346,2339,5480281,1.930384213945273,1,7,155
347,2341,5508409,1.930407115812772,1,7,155
348,2347,5527201,1.9304315023881893,1,7,155
349,2351,5555449,1.9304596136981211,1,7,155
350,2357,5621641,1.9305195636860417,1,7,155
351,2371,5650129,1.9305477681213594,1,7,155
352,2377,5669161,1.9305674914802193,1,7,155
353,2381,5678689,1.9305755132171374,1,7,155
354,2383,5707321,1.9305957962756601,1,7,155
355,2389,5726449,1.9306109127333384,1,7,155
356,2393,5755201,1.930634904086739,1,7,155
357,2399,5812921,1.9306914597138787,1,7,155
358,2411,5841889,1.9307198289320164,1,7,155
359,2417,5870929,1.9307448498772255,1,7,155
360,2423,5938969,1.9307873017669064,1,7,155
361,2437,5958481,1.9308056752728884,1,7,155
362,2441,5987809,1.9308304474692575,1,7,155
363,2447,6046681,1.9308822362023457,1,7,155
364,2459,6086089,1.9309185144874672,1,7,155
365,2467,6115729,1.9309367584693107,1,7,155
366,2473,6135529,1.9309545975505287,1,7,155
367,2477,6265009,1.9310559539588776,1,7,155
368,2503,6355441,1.9311202686202686,1,7,155
369,2521,6405961,1.931165196161075,1,7,155
370,2531,6446521,1.9311999342280797,1,7,155
371,2539,6466849,1.931213011346486,1,7,155
372,2543,6497401,1.9312388032135932,1,7,155
373,2549,6507601,1.931245466838773,1,7,155
374,2551,6538249,1.9312681317686329,1,7,155
375,2557,6651241,1.9313488913345482,1,7,155
376,2579,6713281,1.9313937449354115,1,7,155
377,2591,6723649,1.9313988477683544,1,7,155
378,2593,6806881,1.9314599346543497,1,7,155
379,2609,6848689,1.9314878995801823,1,7,155
380,2617,6869641,1.9314967014283135,1,7,155
381,2621,6932689,1.9315425705007927,1,7,155
382,2633,7006609,1.931590293049076,1,7,155
383,2647,7059649,1.9316186869373657,1,7,155
384,2657,7070281,1.931631137663572,1,7,155
385,2659,7091569,1.9316410700708222,1,7,155
386,2663,7134241,1.9316744320348067,1,7,155
387,2671,7166329,1.9316964001647705,1,7,155
388,2677,7198489,1.931719827830511,1,7,155
389,2683,7219969,1.9317341849714569,1,7,155
390,2687,7230721,1.9317423437776597,1,7,155
391,2689,7252249,1.931754264332935,1,7,155
392,2693,7284601,1.931774977349477,1,7,155
393,2699,7327849,1.931803170589783,1,7,155
394,2707,7349521,1.931820309353536,1,7,155
395,2711,7360369,1.9318270499518502,1,7,155
396,2713,7392961,1.9318482718694543,1,7,155
397,2719,7447441,1.9318815593009142,1,7,155
398,2729,7458361,1.931889450227664,1,7,155
399,2731,7513081,1.9319308459380173,1,7,155
400,2741,7557001,1.9319554055842265,1,7,155
401,2749,7579009,1.931972759495702,1,7,155
402,2753,7656289,1.932016794561542,1,7,155
403,2767,7711729,1.9320501189875992,1,7,155
404,2777,7778521,1.9320950515007997,1,7,155
405,2789,7789681,1.9321042712922738,1,7,155
406,2791,7823209,1.9321220910910204,1,7,155
407,2797,7845601,1.9321335525644947,1,7,155
408,2801,7856809,1.9321406352299815,1,7,155
409,2803,7946761,1.9321909809784112,1,7,155
410,2819,8025889,1.9322408934687352,1,7,155
411,2833,8048569,1.9322566449087588,1,7,155
412,2837,8082649,1.9322765262077477,1,7,155
413,2843,8128201,1.9323017396225486,1,7,155
414,2851,8162449,1.9323247143504008,1,7,155
415,2857,8185321,1.932336060166249,1,7,155
416,2861,8288641,1.932393854721643,1,7,155
417,2879,8334769,1.9324217542707847,1,7,155
418,2887,8392609,1.9324525820817557,1,7,155
419,2897,8427409,1.9324741367689804,1,7,155
420,2903,8462281,1.9324956158387574,1,7,155
421,2909,8508889,1.9325199720574533,1,7,155
422,2917,8567329,1.9325501486577845,1,7,155
423,2927,8637721,1.9325829038218418,1,7,155
424,2939,8720209,1.9326246575769752,1,7,155
425,2953,8743849,1.932636752148482,1,7,155
426,2957,8779369,1.9326556307925582,1,7,155
427,2963,8814961,1.932673545881093,1,7,155
428,2969,8826841,1.932679531972937,1,7,155
429,2971,8994001,1.9327687347120301,1,7,155
430,2999,9006001,1.932778147901399,1,7,155
431,3001,9066121,1.9328137064146516,1,7,155
432,3011,9114361,1.9328371931764818,1,7,155
433,3019,9138529,1.9328494698489735,1,7,155
434,3023,9223369,1.9328892656131687,1,7,155
435,3037,9247681,1.9329014412263401,1,7,155
436,3041,9296401,1.9329250032270557,1,7,155
437,3049,9369721,1.932958722352429,1,7,155
438,3061,9406489,1.93297891838059,1,7,155
439,3067,9480241,1.9330188898171354,1,7,155
440,3079,9504889,1.9330305628009503,1,7,155
441,3083,9541921,1.9330480657980784,1,7,155
442,3089,9665881,1.9331039698403043,1,7,155
443,3109,9728161,1.9331351458035229,1,7,155
444,3119,9740641,1.9331390955830419,1,7,155
445,3121,9840769,1.9331865155239916,1,7,155
446,3137,10004569,1.9332726810393013,1,7,155
447,3163,10029889,1.933283003758367,1,7,155
448,3167,10042561,1.9332885240416786,1,7,155
449,3169,10118761,1.9333208812146943,1,7,155
450,3181,10156969,1.9333370942982198,1,7,155
451,3187,10182481,1.9333503233004141,1,7,155
452,3191,10259209,1.9333874505712332,1,7,155
453,3203,10297681,1.9334026693391133,1,7,155
454,3209,10349089,1.933426984097536,1,7,155
455,3217,10374841,1.9334373349372136,1,7,155
456,3221,10426441,1.933458016350739,1,7,155
457,3229,10569001,1.933514334374113,1,7,155
458,3251,10582009,1.9335218797793388,1,7,155
459,3253,10608049,1.9335338603294405,1,7,155
460,3257,10621081,1.9335401861204322,1,7,155
461,3259,10699441,1.9335682989016247,1,7,155
462,3271,10883401,1.9336478490177702,1,7,155
463,3299,10896601,1.9336538002679735,1,7,155
464,3301,10936249,1.933668475696601,1,7,155
465,3307,10975969,1.9336838445593136,1,7,155
466,3313,11015761,1.9337018961923644,1,7,155
467,3319,11042329,1.933713524901633,1,7,155
468,3323,11082241,1.9337256727881729,1,7,155
469,3329,11095561,1.933731330369986,1,7,155
470,3331,11175649,1.9337634828870773,1,7,155
471,3343,11202409,1.9337728102743625,1,7,155
472,3347,11282881,1.9338087438668141,1,7,155
473,3359,11296321,1.9338122503611797,1,7,155
474,3361,11363641,1.933841709170653,1,7,155
475,3371,11377129,1.9338472767468204,1,7,155
476,3373,11485321,1.9338899569189192,1,7,155
477,3389,11498881,1.933895040212612,1,7,155
478,3391,11607649,1.933933902888854,1,7,155
479,3407,11648569,1.9339483617213722,1,7,155
480,3413,11785489,1.9340006964497354,1,7,155
481,3433,11895601,1.9340433437573556,1,7,155
482,3449,11950849,1.9340615829102672,1,7,155
483,3457,11978521,1.9340718218945245,1,7,155
484,3461,11992369,1.9340764059275033,1,7,155
485,3463,12020089,1.9340869218261962,1,7,155
486,3467,12033961,1.934094595627707,1,7,155
487,3469,12187081,1.9341504281583448,1,7,155
488,3491,12243001,1.9341705464346974,1,7,155
489,3499,12327121,1.9341988234072516,1,7,155
490,3511,12369289,1.9342104412153716,1,7,155
491,3517,12439729,1.9342370669197912,1,7,155
492,3527,12453841,1.934241406666538,1,7,155
493,3529,12482089,1.9342518655532632,1,7,155
494,3533,12524521,1.9342669419666383,1,7,155
495,3539,12538681,1.9342752985162712,1,7,155
496,3541,12581209,1.9342910474097559,1,7,155
497,3547,12652249,1.9343138073170871,1,7,155
498,3557,12666481,1.934320900518534,1,7,155
499,3559,12752041,1.934346269302794,1,7,155
500,3571,12823561,1.9343703308597613,1,7,155
501,3581,12837889,1.9343741743190157,1,7,155
502,3583,12909649,1.9344012323186504,1,7,155
503,3593,13010449,1.9344379993678926,1,7,155
504,3607,13053769,1.9344527189390834,1,7,155
505,3613,13082689,1.934466066912243,1,7,155
506,3617,13126129,1.934482430767093,1,7,155
507,3623,13184161,1.9345019326221768,1,7,155
508,3631,13227769,1.93451495369438,1,7,155
509,3637,13271449,1.9345308062842879,1,7,155
510,3643,13388281,1.9345674724460498,1,7,155
511,3659,13476241,1.9346001555329972,1,7,155
512,3671,13490929,1.934605388154173,1,7,155
513,3673,13520329,1.934614456098994,1,7,155
514,3677,13623481,1.9346470945749543,1,7,155
515,3691,13667809,1.9346598225553067,1,7,155
516,3697,13697401,1.9346686962489232,1,7,155
517,3701,13756681,1.93468605797329,1,7,155
518,3709,13830961,1.9347103888667163,1,7,155
519,3719,13890529,1.9347268872716716,1,7,155
520,3727,13935289,1.9347392748538816,1,7,155
521,3733,13980121,1.9347571408542987,1,7,155
522,3739,14145121,1.9348079054825975,1,7,155
523,3761,14190289,1.9348238739058714,1,7,155
524,3767,14205361,1.9348305850749294,1,7,155
525,3769,14280841,1.9348504009568064,1,7,155
526,3779,14386849,1.9348782304504781,1,7,155
527,3793,14417209,1.9348876009834914,1,7,155
528,3797,14462809,1.9349015073698,1,7,155
529,3803,14600041,1.934942370020904,1,7,155
530,3821,14615329,1.9349487743278837,1,7,155
531,3823,14691889,1.9349719382559953,1,7,155
532,3833,14799409,1.9350017919635705,1,7,155
533,3847,14830201,1.9350108562258095,1,7,155
534,3851,14845609,1.9350130355051811,1,7,155
535,3853,14922769,1.9350397325750825,1,7,155
536,3863,15031129,1.9350720717699963,1,7,155
537,3877,15062161,1.9350813561932685,1,7,155
538,3881,15124321,1.9350997598569721,1,7,155
539,3889,15264649,1.9351390873867513,1,7,155
540,3907,15295921,1.9351475426126705,1,7,155
541,3911,15342889,1.9351614246287923,1,7,155
542,3917,15358561,1.9351648852496588,1,7,155
543,3919,15389929,1.9351761749632617,1,7,155
544,3923,15437041,1.9351924332644082,1,7,155
545,3929,15452761,1.9351975310559408,1,7,155
546,3931,15547249,1.935219918020218,1,7,155
547,3943,15578809,1.9352273935207367,1,7,155
548,3947,15737089,1.9352700448774258,1,7,155
549,3967,15912121,1.9353162243623099,1,7,155
550,3989,16008001,1.9353419540229886,1,7,155
551,4001,16024009,1.935346325338829,1,7,155
552,4003,16056049,1.9353568823411589,1,7,155
553,4007,16104169,1.9353686573562818,1,7,155
554,4013,16152361,1.93538195037753,1,7,155
555,4019,16168441,1.9353874585303221,1,7,155
556,4021,16216729,1.9353986821509246,1,7,155
557,4027,16394401,1.9354476528570732,1,7,155
558,4049,16410601,1.935452268655625,1,7,155
559,4051,16459249,1.9354648523431934,1,7,155
560,4057,16589329,1.9354983517114135,1,7,155
561,4073,16638241,1.9355097654559617,1,7,155
562,4079,16736281,1.9355335235787163,1,7,155
563,4091,16752649,1.935538011662395,1,7,155
564,4093,16801801,1.9355479174850314,1,7,155
565,4099,16900321,1.9355747110113892,1,7,155
566,4111,17032129,1.9356017052009002,1,7,155
567,4127,17048641,1.9356067698068584,1,7,155
568,4129,17081689,1.9356144427880897,1,7,181
569,4133,17131321,1.935627202107018,1,7,181
570,4139,17247409,1.9356597814581762,1,7,181
571,4153,17280649,1.9356687897351998,1,7,181
572,4157,17297281,1.93567162004662,1,7,181
573,4159,17447329,1.9357035644655731,1,7,181
574,4177,17648401,1.935748453117563,1,7,181
575,4201,17732521,1.9357709451335738,1,7,181
576,4211,17783089,1.9357846623713497,1,7,181
577,4217,17799961,1.9357872714320707,1,7,181
578,4219,17884441,1.9358085016919735,1,7,181
579,4229,17901361,1.935812418721259,1,7,181
580,4231,17986081,1.935828262745412,1,7,181
581,4241,18003049,1.935832310173255,1,7,181
582,4243,18088009,1.9358577793640959,1,7,181
583,4253,18139081,1.9358686879378668,1,7,181
584,4259,18156121,1.9358730279376872,1,7,181
585,4261,18241441,1.935891409888693,1,7,181
586,4271,18258529,1.9358958728764992,1,7,181
587,4273,18344089,1.9359130309449017,1,7,181
588,4283,18395521,1.93592766064781,1,7,181
589,4289,18464209,1.9359418503084453,1,7,181
590,4297,18722929,1.9360030119220668,1,7,181
591,4327,18809569,1.9360206996779512,1,7,181
592,4337,18826921,1.9360246391868665,1,7,181
593,4339,18913801,1.9360455857627763,1,7,181
594,4349,18983449,1.9360599296818997,1,7,181
595,4357,19035769,1.9360705593806355,1,7,181
596,4363,19123129,1.9360906855824005,1,7,181
597,4373,19280881,1.9361263593777878,1,7,181
598,4391,19333609,1.936136648679336,1,7,181
599,4397,19439281,1.9361571519109761,1,7,181
600,4409,19545241,1.9361822111163638,1,7,181
601,4421,19562929,1.93618767088444,1,7,181
