horizon_N,n_primes,defects,rho_N
1000,168,829,0.8298298298298298
10000,1229,8768,0.8768876887688769
100000,9592,90405,0.9040590405904059
1000000,78498,921499,0.9214999214999215
10000000,664579,9335418,0.9335418933541894
100000000,5761455,94238542,0.9423854294238543
